id,author,name
1,Alexandre Cotting,Résolveur Rubik's Cube
2,Gerry Oulevay,Barbapapi
3,Explorado,Boxibot
4,Explorado,Fablab
5,FabLab Chêne20,FabLab
6,FabLab Fribourg,FabLab
7,FabLab La Côte,Horloge Nixie
8,FabLab La Côte,FabLab
9,Fablab Neuch,Atelier 3D Lumineuse
10,Fablab Neuch,FabLab
11,FixMe Hackerspace,FabLab
12,Hackuarium Renens,FabLab
13,Hauser Charles,Horloge
14,Hauser Charles,Pendule Incliné
15,Laurent Ferrari,Bitx
16,Leman Make,Expo
17,Leman Make,Makey-Makey
18,Matériaux,Bois MDF
19,Matériaux,Caoutchouc
20,Matériaux,Gazon
21,Matériaux,Métal
22,Matériaux,Mousse
23,Matériaux,Peinture
24,Matériaux,Plexiglass
25,Microclub,Drone3D
26,Microclub,Hydro
27,Objets,Ampoule
28,Objets,Chaise
29,Objets,Fourchette
30,Objets,Hélice
31,Objets,Ipad
32,Objets,Livre
33,Objets,Monnaie
34,Objets,Pot
35,PostTenebrasLab,FabLab
36,Serge Perret,Unamed
